"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
39.968904,-105.1836934,"39.968904 -105.1836934","80310029011",36.3666666666667,NA,"46.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310029011",30.1666666666667,NA,"42.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310029012",18.7,65.75,"21.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310029012",10.2666666666667,53.5833333333333,"4.9 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310029012",38.55,NA,"51.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310029012",36.7166666666667,NA,"53.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310029012",35.4333333333333,NA,"46.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310029012",29.25,NA,"42.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310029013",18.1,60.5666666666667,"21.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310029013",11.2833333333333,41.3333333333333,"5.5 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310029013",37.9666666666667,NA,"51.4 km"
